nsentry16_2016_02_24__05h00m00s

Time (Date hh:mm:ss.ms)	 L-Max dB -A 	 LEQ dB -A 	 L-Min dB -A 	
2016/02/24 09:32:07.000	71.645139	70.945069	70.144972	
2016/02/24 09:32:08.000	76.645417	74.945355	71.345110	
2016/02/24 09:32:09.000	81.645504	78.545462	75.945394	
2016/02/24 09:32:10.000	88.145536	86.545532	82.445511	
2016/02/24 09:32:11.000	83.245517	75.645383	72.445208	
2016/02/24 09:32:12.000	72.245192	69.844931	69.444872	
2016/02/24 09:32:13.000	70.645035	69.644902	68.244658	
2016/02/24 09:32:14.000	68.044616	67.444479	67.144402	
2016/02/24 09:32:15.000	67.444479	67.144402	66.844321	
2016/02/24 09:32:16.000	67.744550	67.244428	66.744292	
2016/02/24 09:32:17.000	67.544503	66.744292	66.044073	
2016/02/24 09:32:18.000	66.644263	66.144106	65.743968	
2016/02/24 09:32:19.000	66.144106	65.543893	65.043692	
2016/02/24 09:32:20.000	65.443855	64.643513	64.043212	
2016/02/24 09:32:21.000	64.943649	64.243317	63.743045	
2016/02/24 09:32:22.000	64.243317	63.943158	63.743045	
2016/02/24 09:32:23.000	66.744292	65.543893	64.043212	
2016/02/24 09:32:24.000	72.745230	70.445010	66.744292	
2016/02/24 09:32:25.000	79.845483	78.145454	72.845237	
2016/02/24 09:32:26.000	77.145431	71.045079	68.144637	
2016/02/24 09:32:27.000	67.944595	66.244139	65.844004	
2016/02/24 09:32:28.000	66.444203	64.943649	63.743045	
2016/02/24 09:32:29.000	64.343368	63.242740	62.642324	
2016/02/24 09:32:30.000	64.143265	63.342804	62.342094	
2016/02/24 09:32:31.000	65.643931	64.943649	63.843102	
2016/02/24 09:32:32.000	65.443855	64.843604	64.443417	
2016/02/24 09:32:33.000	66.544233	65.844004	65.043692	
2016/02/24 09:32:34.000	70.044959	68.444698	66.044073	
2016/02/24 09:32:35.000	79.845483	76.045398	70.144972	
2016/02/24 09:32:36.000	81.045498	79.645481	76.745420	
2016/02/24 09:32:37.000	76.445411	71.845158	70.244985	
2016/02/24 09:32:38.000	71.045079	69.444872	68.644736	
2016/02/24 09:32:39.000	69.644902	69.344856	68.944790	
2016/02/24 09:32:40.000	70.244985	69.844931	69.344856	
2016/02/24 09:32:41.000	76.045398	73.645289	70.244985	
2016/02/24 09:32:42.000	78.345458	77.545441	75.945394	
2016/02/24 09:32:43.000	79.745482	78.745466	77.845448	
2016/02/24 09:32:44.000	79.645481	77.745445	76.745420	
2016/02/24 09:32:45.000	83.945521	82.845514	78.545462	
2016/02/24 09:32:46.000	83.845520	79.845483	77.545441	
2016/02/24 09:32:47.000	77.545441	77.145431	76.645417	
2016/02/24 09:32:48.000	76.745420	76.245404	75.745387	
2016/02/24 09:32:49.000	80.645494	78.445460	76.745420	
2016/02/24 09:32:50.000	82.145509	79.845483	75.245368	
2016/02/24 09:32:51.000	75.045360	72.245192	71.545130	
2016/02/24 09:32:52.000	78.345458	75.145364	71.345110	
2016/02/24 09:32:53.000	81.745505	80.145488	76.645417	
2016/02/24 09:32:54.000	76.445411	75.345372	74.845351	
2016/02/24 09:32:55.000	79.545479	77.045428	74.445332	
2016/02/24 09:32:56.000	80.045486	76.945425	75.445376	
2016/02/24 09:32:57.000	76.145401	74.945355	73.745295	
2016/02/24 09:32:58.000	79.145473	76.745420	73.945306	
2016/02/24 09:32:59.000	81.545503	79.645481	75.345372	
2016/02/24 09:33:00.000	76.845422	75.145364	74.045312	
2016/02/24 09:33:01.000	77.645443	76.545414	75.545380	
2016/02/24 09:33:02.000	81.245500	80.045486	75.745387	
2016/02/24 09:33:03.000	79.845483	73.845301	71.145090	
2016/02/24 09:33:04.000	78.845468	75.845391	71.345110	
2016/02/24 09:33:05.000	79.645481	77.145431	73.245264	
2016/02/24 09:33:06.000	74.745346	73.745295	72.845237	
2016/02/24 09:33:07.000	74.745346	73.045251	71.645139	
